uid,username,password,uname,gender,age,location,joinedDate
36,Baman,Bamanpass123,Baman,Male,,Tokyo,2005-02-05
119,Phony2,Phony2pass123,Phony,,,Sydney,2005-06-25
162,Sigyns,Sigynspass123,Sigyns,Female,,Tokyo,2005-07-30
222,Notrik,Notrikpass123,Notrik,Male,38,New York,2005-10-18
238,aokisakura2,aokisakura2pass123,Aokisakura,Female,43,Berlin,2005-12-16
255,Sneaker,Sneakerpass123,Sneaker,Male,41,New York,2006-01-17
268,Ticat,Ticatpass123,Ticat,,,Tokyo,2006-03-08
274,flink,flinkpass123,Flink,,,London,2006-03-09
295,AzraelNewtype,AzraelNewtypepass123,Azraelnewtype,Male,41,Paris,2006-03-19
297,Muda,Mudapass123,Muda,Male,,New York,2006-03-20
357,zhambi,zhambipass123,Zhambi,Male,,Paris,2006-05-19
431,izikiel,izikielpass123,Izikiel,Male,,London,2006-06-08
436,Katsuki,Katsukipass123,Katsuki,Female,34,Tokyo,2006-06-09
465,bloody,bloodypass123,Bloody,Male,,London,2006-07-01
512,Champloon,Champloonpass123,Champloon,Male,38,Toronto,2006-07-16
529,Keyblader24,Keyblader24pass123,Keyblader,Male,,London,2006-07-22
559,Gyad,Gyadpass123,Gyad,Male,34,Tokyo,2006-08-01
615,Yojiro,Yojiropass123,Yojiro,,,São Paulo,2006-08-16
652,Wyko,Wykopass123,Wyko,,,London,2006-08-22
689,dnt,dntpass123,Dnt,Male,,Toronto,2006-08-26
721,Sayosi,Sayosipass123,Sayosi,Female,,Tokyo,2006-08-31
734,Baka_Ichigo,Baka_Ichigopass123,Baka,Male,38,Toronto,2006-09-04
736,DistinctlyBenign,DistinctlyBenignpass123,Distinctlybenign,,36,São Paulo,2006-09-05
760,rubberluffy,rubberluffypass123,Rubberluffy,Male,,London,2006-09-11
767,alfe,alfepass123,Alfe,Male,,Paris,2006-09-13
848,Shinigami,Shinigamipass123,Shinigami,Male,,Tokyo,2006-09-26
891,majikkou,majikkoupass123,Majikkou,Female,37,Sydney,2006-10-03
925,lizzard,lizzardpass123,Lizzard,Male,,Berlin,2006-10-09
945,BulletproofSoul,BulletproofSoulpass123,Bulletproofsoul,Male,37,Toronto,2006-10-12
949,chocopocky,chocopockypass123,Chocopocky,Female,,Toronto,2006-10-14
954,bitsmart,bitsmartpass123,Bitsmart,,,Berlin,2006-10-14
988,Hirako,Hirakopass123,Hirako,Male,,London,2006-10-19
1031,lugiastrikes,lugiastrikespass123,Lugiastrikes,Female,,São Paulo,2006-10-24
1046,Krelian,Krelianpass123,Krelian,Male,40,Paris,2006-10-24
1068,mrfunkybawkbawk,mrfunkybawkbawkpass123,Mrfunkybawkbawk,,,New York,2006-10-26
1133,BlueFoxAngel,BlueFoxAngelpass123,Bluefoxangel,Male,34,Berlin,2006-11-02
1150,ivorykeys,ivorykeyspass123,Ivorykeys,Female,,São Paulo,2006-11-03
1184,AnimeQT,AnimeQTpass123,Animeqt,Female,,New York,2006-11-08
1215,alix,alixpass123,Alix,,,Berlin,2006-11-11
